area,quadrat,burrowcount_perquarterm2
1,1,11
1,2,15
1,3,5
1,4,12
1,5,6
1,6,8
1,7,9
1,8,11
1,9,3
1,10,17
1,11,14
2,1,0
2,2,4
2,3,0
2,4,5
2,5,0
2,6,4
2,7,0
2,8,0
2,9,0
2,10,5
2,11,2
3,1,0
3,2,1
3,3,2
3,4,2
3,5,3
3,6,6
3,7,1
3,8,5
3,9,2
3,10,4
3,11,2
4,1,16
4,2,31
4,3,12
4,4,18
4,5,6
4,6,16
4,7,18
4,8,21
4,9,10
4,10,12
5,1,7
5,2,24
5,3,8
5,4,15
5,5,5
5,6,7
5,7,8
5,8,22
5,9,9
5,10,35
6,1,27
6,2,28
6,3,19
6,4,26
6,5,49
6,6,52
6,7,40
6,8,43
6,9,47
6,10,56
7,1,32
7,2,43
7,3,28
7,4,45
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,2
8,7,0
8,8,2
8,9,1
8,10,0
9,1,0
9,2,0
9,3,0
9,4,1
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
10,1,2
10,2,0
10,3,0
10,4,1
10,5,0
10,6,0
11,1,0
11,2,2
11,3,1
11,4,0
11,5,0
11,6,2
12,1,43
12,2,60
12,3,26
12,4,35
12,5,40
12,6,42
12,7,48
12,8,34
12,9,29
12,10,7
13,1,20
13,2,57
13,3,34
13,4,71
13,5,13
13,6,50
13,7,9
13,8,36
13,9,16
13,10,6
13,11,17
13,12,9
13,13,13
